o_place,d_place,cnt,o_lat,o_lon,d_lat,d_lon
Idaho,New Hampshire,1,46.058,-115.803,42.944,-70.9
Montana,Colorado,6,46.261,-110.329,39.251,-105.459
Hawaii,Nebraska,2,21.136,-157.173,41.733,-97.868
Arkansas,Oklahoma,80,35.405,-93.757,35.591,-96.772
Oklahoma,Montana,1,35.985,-96.767,48.507,-111.856
Illinois,Tennessee,98,40.855,-88.298,35.942,-87.033
Idaho,Nebraska,1,43.579,-116.57,41.23,-96.836
Illinois,Kansas,36,40.975,-88.426,38.868,-97.976
Massachusetts,Kentucky,3,42.192,-71.046,37.311,-86.304
Maine,Nevada,1,43.696,-70.293,39.512,-119.827
Utah,Maine,2,40.608,-110.733,44.223,-69.558
Arizona,Kansas,17,33.785,-111.989,38.64,-97.396
New Mexico,Indiana,6,35.41,-107.338,40.06,-86.555
Louisiana,Idaho,2,31.252,-92.017,43.592,-116.23
Ohio,Missouri,29,40.25,-82.898,38.834,-91.435
Mississippi,Oregon,1,34.355,-89.534,45.536,-122.631
Connecticut,Oklahoma,1,41.845,-72.832,36.039,-95.77
New York,California,309,40.905,-74.105,35.226,-119.365
Wisconsin,Iowa,24,43.3,-89.096,42.066,-92.784
Hawaii,Ohio,1,21.367,-157.939,40.035,-83.159
Ohio,New Hampshire,2,41.24,-82.744,43.126,-71.63
New York,New Mexico,7,41.258,-73.926,35.234,-106.161
Arizona,New Mexico,109,33.603,-111.591,34.257,-106.7
Georgia,North Carolina,337,33.515,-83.703,35.47,-80.481
Pennsylvania,Maine,3,40.95,-77.61,44.586,-69.32
Wyoming,Texas,5,43.464,-106.358,30.577,-96.275
Utah,Missouri,6,39.214,-111.87,39.143,-93.694
Massachusetts,Minnesota,9,42.311,-71.153,46.144,-93.336
Arkansas,Ohio,6,34.888,-91.998,40.698,-82.049
Missouri,Minnesota,24,38.613,-91.847,45.807,-93.321
Tennessee,South Dakota,2,36.194,-86.48,43.235,-99.908
Missouri,California,90,38.649,-92.187,35.382,-119.458
South Carolina,Iowa,1,32.914,-80.046,42.033,-93.639
Maryland,North Carolina,115,39.033,-76.775,35.559,-79.464
Missouri,Connecticut,6,38.062,-92.161,41.609,-72.862
Colorado,Nevada,37,39.299,-105.239,36.602,-115.814
Illinois,New York,133,41.621,-87.926,41.173,-74.459
Georgia,Hawaii,3,33.791,-84.52,21.559,-158.396
Michigan,Montana,2,42.293,-83.235,47.591,-112.193
Texas,Alabama,86,31.288,-96.645,32.839,-86.956
South Carolina,New Mexico,2,32.852,-80.005,33.606,-105.319
New Mexico,Iowa,2,33.965,-105.658,41.819,-92.716
Arizona,Maine,1,33.448,-112.074,44.1,-70.215
Oregon,Arkansas,2,45.516,-122.699,34.815,-92.23
Idaho,Michigan,3,43.117,-113.763,42.352,-84.264
Hawaii,New York,11,21.107,-157.445,40.787,-74.017
New York,Indiana,37,41.06,-74.543,39.992,-86.274
Texas,Wisconsin,17,30.859,-96.93,43.887,-88.471
Hawaii,Texas,28,21.395,-157.955,31.098,-97.355
Massachusetts,Oregon,6,42.296,-71.475,45.296,-122.498
Delaware,South Carolina,2,39.368,-75.458,34.087,-80.44
Washington,Maine,1,45.62,-122.532,43.694,-70.264
Illinois,Georgia,78,41.128,-88.292,33.197,-83.792
Nevada,Tennessee,7,37.626,-116.51,35.884,-86.566
Connecticut,Nevada,1,41.761,-72.709,36.168,-115.149
Kentucky,Nebraska,1,37.765,-87.102,41.501,-99.681
Tennessee,Massachusetts,18,35.91,-86.168,42.159,-71.238
Ohio,Mississippi,3,40.846,-82.734,32.74,-90.447
Missouri,Mississippi,14,37.797,-90.747,33.299,-89.761
New Jersey,Arizona,15,40.519,-74.388,33.971,-111.645
Minnesota,West Virginia,1,46.868,-96.75,39.248,-78.611
Ohio,New Jersey,30,40.809,-81.966,40.548,-74.474
Illinois,Connecticut,7,41.528,-87.727,41.464,-72.889
South Carolina,Indiana,9,33.808,-81.329,39.784,-86.147
Louisiana,Oregon,4,30.056,-89.969,44.924,-122.934
New Jersey,Alabama,4,40.207,-74.562,32.87,-86.932
Mississippi,Montana,2,33.633,-89.298,46.318,-111.29
California,Colorado,197,35.218,-119.374,39.249,-105.172
Maryland,Arkansas,3,39.271,-76.786,35.678,-91.91
Alaska,Colorado,2,61.235,-149.759,39.311,-105.957
Oklahoma,Georgia,36,35.383,-96.969,33.202,-83.763
Maine,Wisconsin,1,44.327,-69.784,43.718,-88.065
Arizona,North Carolina,23,33.926,-111.893,35.441,-80.156
Mississippi,Connecticut,1,33.502,-88.415,41.057,-73.539
Alabama,Hawaii,2,31.814,-85.675,21.326,-157.92
Minnesota,South Carolina,1,44.895,-93.361,35.002,-80.897
New Jersey,New Mexico,6,40.511,-74.263,34.772,-106.035
Alaska,New Jersey,1,64.757,-147.305,39.958,-74.896
Idaho,Oklahoma,1,44.06,-115.305,35.102,-95.442
Delaware,Oklahoma,2,39.679,-75.584,34.921,-96.785
New Mexico,Tennessee,5,35.486,-106.086,35.936,-85.224
Alaska,Minnesota,1,64.757,-147.305,44.942,-93.106
Iowa,Michigan,6,41.729,-92.076,42.504,-84.18
Washington,Arizona,54,47.34,-121.976,33.548,-112.065
Michigan,Idaho,2,42.347,-83.285,43.232,-114.341
North Carolina,Texas,66,35.593,-79.926,31.274,-97.561
Arizona,Missouri,28,33.637,-111.887,38.495,-92.132
Ohio,Nevada,20,40.586,-82.53,36.085,-115.15
Michigan,Kentucky,40,42.58,-83.909,38.042,-85.457
Nevada,Texas,142,36.498,-115.611,31.001,-97.418
Montana,Alaska,1,46.85,-113.987,61.191,-149.89
Kentucky,Maryland,13,38.184,-85.237,39.119,-76.992
New Hampshire,Connecticut,17,43.057,-71.342,41.598,-72.655
Iowa,Colorado,18,41.593,-93.507,38.836,-105.199
South Dakota,South Dakota,2284,43.867,-98.341,43.877,-98.422
Utah,Massachusetts,5,41.039,-112.063,42.154,-70.836
Arizona,Minnesota,21,33.585,-111.805,45.171,-93.371
South Carolina,Oregon,4,33.99,-80.761,45.075,-122.516
Vermont,Pennsylvania,2,44.475,-73.122,40.394,-76.488
South Carolina,Tennessee,42,34.186,-81.307,35.986,-84.704
Colorado,North Dakota,5,40.306,-105.115,47.169,-100.023
Indiana,Delaware,1,41.659,-86.885,39.679,-75.756
New Jersey,Connecticut,116,40.611,-74.312,41.423,-72.956
New Hampshire,New Hampshire,3898,43.068,-71.379,43.112,-71.386
Oregon,Massachusetts,2,44.977,-123.0,42.366,-71.038
New York,Georgia,137,40.957,-74.248,33.399,-83.961
Pennsylvania,Rhode Island,7,40.687,-77.632,41.738,-71.477
Nevada,Alaska,2,36.233,-115.223,61.235,-149.759
Oregon,Nevada,30,45.112,-122.371,38.002,-116.719
Missouri,South Dakota,6,39.133,-93.659,43.959,-98.878
Florida,Louisiana,102,28.047,-82.299,30.466,-91.178
Mississippi,Iowa,1,32.434,-90.147,41.612,-93.675
North Carolina,Wisconsin,3,35.502,-80.517,42.999,-87.943
Wisconsin,Idaho,1,43.057,-87.967,45.495,-114.143
Texas,Maine,2,31.172,-97.78,43.898,-70.254
Minnesota,Kentucky,4,45.472,-93.595,38.279,-85.518
Tennessee,Tennessee,39525,35.797,-86.837,35.795,-86.825
Nevada,Alabama,3,36.096,-115.219,33.946,-86.456
Alabama,West Virginia,1,32.361,-86.279,38.233,-80.629
Kentucky,Oklahoma,8,38.185,-85.236,35.807,-96.604
Washington,Connecticut,3,47.524,-122.315,41.513,-72.845
Michigan,Michigan,41270,42.624,-83.888,42.625,-83.889
Connecticut,Ohio,5,41.434,-72.861,40.607,-83.033
Wisconsin,Minnesota,166,44.394,-90.878,45.081,-93.061
Tennessee,Arkansas,137,35.391,-89.129,34.921,-91.693
Iowa,Nebraska,176,41.592,-95.239,41.346,-96.666
