o_place,d_place,cnt,o_lat,o_lon,d_lat,d_lon
56,13,382,42.363,-106.909,33.67,-83.951
27,05,1180,45.111,-93.592,35.279,-92.868
16,30,4426,45.263,-115.012,46.739,-112.111
01,38,232,32.752,-86.741,47.59,-100.348
47,34,3034,35.948,-85.861,40.458,-74.479
53,10,141,47.546,-122.137,39.088,-75.413
29,18,10165,38.255,-91.812,39.919,-86.366
42,37,12289,40.482,-77.261,35.471,-79.444
11,51,14132,38.902,-77.01,38.684,-77.221
56,54,130,43.1,-105.636,39.255,-80.455
08,17,8643,39.616,-105.138,41.309,-88.382
18,51,3619,40.117,-86.322,37.872,-78.054
17,02,227,41.374,-88.305,61.014,-149.436
46,12,2387,43.808,-98.602,27.922,-82.036
26,37,5961,42.901,-84.235,35.472,-80.162
06,25,3733,35.436,-119.489,42.285,-71.313
04,53,10815,33.403,-112.005,47.329,-121.648
12,01,84958,29.819,-84.92,31.894,-86.734
55,45,1349,43.579,-88.938,33.798,-80.779
25,26,1402,42.259,-71.353,42.741,-84.003
37,39,14033,35.483,-79.611,40.339,-82.838
23,32,225,44.459,-69.591,36.969,-116.176
53,45,1370,47.321,-122.104,33.983,-80.93
02,55,209,62.308,-149.363,44.337,-89.509
28,44,49,33.25,-89.217,41.633,-71.55
09,37,2336,41.476,-72.867,35.432,-79.682
42,25,5317,40.428,-76.688,42.254,-71.418
42,31,605,40.577,-77.104,41.131,-98.651
12,54,5479,28.256,-82.04,38.8,-80.664
05,48,113098,34.713,-93.194,32.427,-96.163
09,38,48,41.405,-72.355,47.943,-100.721
10,16,16,39.449,-75.561,43.979,-114.234
06,50,225,35.317,-119.067,44.086,-72.814
19,45,1017,41.85,-92.992,33.797,-80.807
15,15,1202169,21.21,-157.64,21.199,-157.629
26,42,6187,42.763,-84.106,40.579,-77.793
29,05,49129,37.191,-92.394,35.825,-92.54
40,20,30219,36.109,-97.028,37.819,-97.252
13,46,405,33.509,-83.8,43.962,-99.358
31,36,377,41.124,-97.167,41.538,-74.543
22,48,144585,30.991,-92.182,31.257,-96.25
45,37,241990,34.414,-80.929,35.273,-80.638
16,51,613,43.838,-114.181,37.931,-77.452
26,05,2484,42.924,-84.49,35.064,-92.228
08,31,9454,39.837,-104.646,41.145,-99.295
49,40,1096,40.346,-111.791,35.704,-97.15
38,42,455,47.439,-99.094,40.563,-77.888
19,25,197,41.799,-93.423,42.213,-71.387
02,46,92,61.225,-149.978,44.083,-99.219
20,22,2306,38.336,-96.562,30.87,-91.898
15,32,3871,21.199,-157.613,36.392,-115.557
34,55,585,40.351,-74.468,43.845,-89.107
23,49,85,44.236,-69.92,39.77,-112.103
30,18,317,46.858,-111.697,40.335,-86.002
15,09,75,21.115,-157.484,41.457,-72.45
41,35,853,44.502,-122.51,34.621,-106.625
30,37,426,46.834,-111.753,35.367,-80.051
01,16,529,32.51,-86.991,44.027,-114.206
72,56,13,18.391,-66.54,41.61,-106.989
42,16,478,40.627,-77.841,44.135,-114.956
22,27,917,31.149,-92.01,45.829,-93.682
39,50,384,40.469,-82.585,44.01,-72.736
24,33,523,39.051,-76.612,43.186,-71.442
18,37,5154,40.045,-86.197,35.485,-80.159
38,31,880,47.326,-99.345,41.27,-98.185
23,01,683,44.396,-69.693,32.642,-86.419
12,34,30688,27.528,-81.46,40.373,-74.424
10,42,30374,39.542,-75.573,40.025,-75.592
46,33,16,44.01,-102.817,42.933,-71.568
17,23,308,41.56,-88.298,44.251,-69.693
15,41,1387,20.934,-157.238,44.851,-122.667
15,55,191,21.169,-157.468,43.368,-88.94
26,02,312,44.068,-84.852,61.684,-149.312
26,16,494,42.866,-84.645,44.747,-115.692
16,42,287,44.451,-114.775,40.54,-77.18
32,45,643,36.672,-115.83,33.797,-80.407
22,17,4628,30.625,-91.315,40.857,-88.47
50,16,37,43.859,-73.008,43.739,-115.296
13,36,9946,33.459,-83.87,41.516,-74.751
09,20,248,41.586,-72.83,37.997,-96.155
22,38,398,31.436,-92.404,47.619,-100.854
17,54,1841,41.098,-88.614,38.858,-80.774
72,49,65,18.372,-66.344,40.564,-111.812
24,17,1990,39.146,-76.799,41.434,-88.19
09,48,2889,41.499,-72.856,31.404,-97.185
50,45,238,43.921,-72.922,33.683,-80.405
02,42,179,61.944,-148.618,40.531,-76.889
53,46,750,47.225,-121.149,43.882,-100.087
39,08,6055,40.359,-82.884,39.584,-105.194
72,35,12,18.374,-66.336,34.739,-105.589
27,53,1380,45.246,-93.646,47.269,-121.686
37,01,11758,35.426,-79.924,32.884,-86.7
19,35,966,41.869,-93.451,34.914,-106.253
40,38,792,35.707,-97.099,47.643,-100.779
39,27,3400,40.413,-82.696,45.253,-93.469
39,33,660,40.398,-82.835,43.24,-71.393
32,33,35,36.303,-115.447,43.102,-71.296
36,51,14200,41.529,-74.683,37.954,-77.66
34,33,851,40.526,-74.46,43.23,-71.387
44,44,749649,41.761,-71.458,41.76,-71.451
08,23,339,39.671,-105.158,44.182,-69.649
44,50,797,41.668,-71.433,44.005,-72.821
20,38,275,38.357,-97.146,47.332,-99.407
47,47,9629967,35.816,-86.276,35.81,-86.29
09,42,4582,41.493,-72.856,40.496,-76.233
19,10,98,41.728,-92.75,39.088,-75.438
21,25,373,37.94,-84.942,42.208,-71.363
02,34,88,61.335,-150.544,40.413,-74.423
02,20,183,63.089,-148.632,38.249,-96.802
50,33,15000,43.766,-72.463,43.517,-72.044
05,41,417,35.302,-93.147,44.728,-122.011
49,26,809,40.271,-111.878,43.007,-84.224
48,47,34974,31.209,-97.045,35.785,-86.547
